Outlet,Full URL,Twitter Handle,Short URL
NPR,npr.org/music,(at)NPR,n.pr/
Entertainment Weekly,ew.com,(at)EW,ow.ly/
The Hollywood Reporter,hollywoodreporter.com,(at)THR,thr.cm/
The A.V. Club,avclub.com,(at)TheAVClub,avc.lu/
Pitchfork,pitchfork.com,(at)pitchfork,p4k.co/
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
Billboard,billboard.com,(at)billboard,blbrd.cm/
Rolling Stone,rollingstone.com,(at)RollingStone,rol.st/
Stereogum,stereogum.com,(at)stereogum,bit.ly/
Spin,spin.com,(at)SPINmagazine,go.spin.com
Village Voice,villagevoice.com,(at)villagevoice,bit.ly/
New York Times,nytimes.com/pages/arts/music,(at)nytimesmusic,nyti.ms/
Los Angeles Times,latimes.com/entertainment/music,(at)latimes,lat.ms/
Mother Jones,motherjones.com/topics/music,(at)MotherJones,mojo.ly/
The Guardian,theguardian.com/music,(at)guardian,t.gu.com/
The Independent,independent.co.uk/arts-entertainment/music,(at)Independent,ind.pn/
The Telegraph,telegraph.co.uk/music,(at)Telegraph,bit.ly/
Mashable,mashable.com/music,(at)mashable,on.mash.to/
