Outlet,Full URL,Twitter Handles,Short URL
Vox,vox.com,(at)voxdotcom,bit.ly/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Mother Jones,motherjones.com,(at)MotherJones,mojo.ly/
Slate,slate.com,(at)Slate,slate.me/
The Atlantic,theatlantic.com,(at)TheAtlantic,theatln.tc/
The Verge,theverge.com,(at)verge,theverge.com
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
Rolling Stone,rollingstone.com,(at)RollingStone,rol.st/
Mic,mic.com,(at)micnews,bit.ly/
The Nation,thenation.com,(at)thenation,thenat.in/
Colorlines.com,colorlines.com,(at)Colorlines,ow.ly/
The Root,theroot.com,(at)TheRoot,buff.ly/
Fusion,fusion.net,"(at)ThisIsFusion, (at)FusionNews",fus.in/
Univision,univision.com,(at)Univision,uni.vi/
China Daily,usa.chinadaily.com.cn,(at)ChinaDailyUSA,ow.ly/
Essence,essence.com,(at)essencemag,trib.al/
New Republic,newrepublic.com,(at)NewRepublic,bit.ly/
ThinkProgress,thinkprogress.org,(at)thinkprogress,thkpr.gs/
Ebony Magazine,ebony.com,(at)EBONYMag,ow.ly/
