Outlet,Full URL,Twitter Handle,Short URL
NPR,npr.org,(at)NPR,n.pr/
The New York Times,nytimes.com,(at)NYTimes,nyti.ms/
Wall Street Journal,wsj.com,(at)WSJ,on.wsj.com/
Washington Post,washingtonpost.com,(at)washingtonpost,wapo.st/
Huffington Post,huffingtonpost.com,(at)HuffingtonPost,huff.to/
Reuters,reuters.com,(at)reuters,reut.rs/
Bloomberg,bloomberg.com,(at)Bloomberg,bloom.bg/
Fox News,foxnews.com,(at)FoxNews,fxn.ws/
CNN,cnn.com,"(at)CNN, (at)cnnbrk",cnn.it/
Gawker,gawker.com,(at)Gawker,gaw.kr/
USA Today,usatoday.com,(at)USATODAY,usat.ly
Los Angeles Times,latimes.com,(at)latimes,lat.ms/
Vox,vox.com,(at)voxdotcom,bit.ly/
Vice News,news.vice.com,(at)vicenews,bit.ly/
Chicago Tribune,chicagotribune.com,(at)chicagotribune,trib.in/
Boston Globe,bostonglobe.com,(at)BostonGlobe,bos.gl/
BBC,bbc.com,"(at)BBC, (at)BBCBreaking",bbc.in/
Al-Jazeera (English),america.aljazeera.com,(at)AJEnglish,aje.io/
Associated Press,ap.org,(at)AP,apne.ws/
Mother Jones,motherjones.com,(at)MotherJones,mojo.ly/
Politico,politico.com,(at)politico,politi.co/
CBS News,cbsnews.com,(at)cbsnews,cbsn.ws/
The Guardian,theguardian.com,(at)guardian,trib.al/
NBC News,nbcnews.com,(at)NBCNews,nbcnews.to/
The Atlantic,theatlantic.com,(at)TheAtlantic,theatln.tc/
The Verge,theverge.com,(at)verge,theverge.com
Buzzfeed,buzzfeed.com,"(at)BuzzFeed, (at)BuzzFeedNews",bzfd.it/
The Independent,independent.co.uk,(at)Independent,ind.pn/
The Intercept,theintercept.com,(at)the_intercept,interc.pt/
Bing News,bing.com/news,(at)bing,
The Christian Post,christianpost.com,(at)christianpost,bit.ly/
Houston Chronicle,chron.com,(at)HoustonChron,"tinyurl.com/, bit.ly/"
Christian Science Monitor,CSMonitor.com,(at)csmonitor,trib.al/
Economist,economist.com,(at)TheEconomist,econ.st/
Examiner.com,examiner.com,(at)examinercom,exm.nr/
Google News Search,news.google.com,"(at)googlenews, (at)google",bit.ly/
MSNBC,msnbc.com,(at)MSNBC,on.msnbc.com/
Newsday,newsday.com,(at)newsday,nwsdy.li/
Newsmax,newsmax.com,(at)Newsmax_Media,ift.tt/
Newsweek,newsweek.com,(at)newsweek,bit.ly/
San Francisco Chronicle,SFGATE.com,(at)SFGate,sfg.ly/
Time,time.com,(at)TIME,ti.me/
Washington Times,washingtontimes.com,(at)WashTimes,goo.gl/
Yahoo News,news.yahoo.com,(at)YahooNews,yhoo.it/
Fusion,fusion.net,"(at)ThisIsFusion, (at)FusionNews",fus.in/
Univision,univision.com,(at)Univision,uni.vi/
China Daily,usa.chinadaily.com.cn,(at)ChinaDailyUSA,ow.ly/
Daily Mail,dailymail.co.uk,(at)MailOnline,dailym.ai/
New York Magazine,nymag.com,(at)nymag,nym.ag/
The Week,theweek.com,(at)TheWeek,bit.ly/
ThinkProgress,thinkprogress.org,(at)thinkprogress,thkpr.gs/
Ebony Magazine,ebony.com,(at)EBONYmag,ow.ly/
Mashable,mashable.com,(at)mashable,on.mash.to/
NY Daily News,nydailynews.com,(at)NYDailyNews,nydn.us/
New York Post,nypost.com,(at)nypost,nyp.st/
Detroit Free Press,freep.com,(at)freep,on.freep.com/
Dallas Morning News,dallasnews.com,(at)dallasnews,d-news.com
The Daily Beast,thedailybeast.com,(at)thedailybeast,thebea.st/
ProPublica,propublica.org,(at)ProPublica,propub.ca/
US News & World Report,usnews.com,(at)usnews,trib.al/
ABC News,abcnews.com,(at)ABC,abcn.ws/
Drudge Report,drudgereport.com,(at)DRUDGE_REPORT,
